id_venta,fecha_venta,tipo_dona,cantidad,precio_unitario,total,metodo_pago,id_empleado,sucursal
28,2025-04-17 07:25:01,Boston Cream,5,2.5,12.5,Tarjeta de Débito,101,Norte
29,2025-04-17 07:28:15,Boston Cream,4,2.5,10.0,Transferencia,106,Norte
30,2025-04-17 07:31:29,Glaseada,4,1.5,6.0,Tarjeta de Crédito,106,Centro
31,2025-04-17 07:41:05,Azúcar y Canela,12,1.25,15.0,Tarjeta de Débito,101,Norte
32,2025-04-17 07:41:14,Chocolate,8,2.0,16.0,Efectivo,102,Sur
33,2025-04-17 07:59:41,Glaseada,11,1.5,16.5,Tarjeta de Débito,107,Centro
34,2025-04-17 08:04:43,Mapple,3,1.75,5.25,Transferencia,102,Sur
35,2025-04-17 08:05:23,Chocolate,5,2.0,10.0,Efectivo,103,Norte
36,2025-04-17 08:08:29,Glaseada,12,1.5,18.0,Efectivo,106,Valle
37,2025-04-17 09:06:28,Glaseada,6,1.5,9.0,Tarjeta de Débito,104,Centro
38,2025-04-17 09:42:19,Mapple,7,1.75,12.25,Tarjeta de Débito,103,Valle
39,2025-04-17 09:42:37,Boston Cream,11,2.5,27.5,Efectivo,105,Centro
40,2025-04-17 09:42:57,Rellena de Fresa,7,2.25,15.75,Tarjeta de Débito,105,Sur
41,2025-04-17 09:49:56,Chocolate,5,2.0,10.0,Tarjeta de Crédito,106,Sur
42,2025-04-17 10:18:49,Glaseada,9,1.5,13.5,Efectivo,105,Norte
43,2025-04-17 10:38:33,Chocolate,11,2.0,22.0,Tarjeta de Crédito,103,Sur
44,2025-04-17 10:51:03,Azúcar y Canela,10,1.25,12.5,Tarjeta de Débito,107,Norte
45,2025-04-17 11:01:09,Mapple,2,1.75,3.5,Tarjeta de Crédito,106,Valle
46,2025-04-17 11:06:54,Glaseada,6,1.5,9.0,Efectivo,104,Centro
47,2025-04-17 11:14:03,Boston Cream,10,2.5,25.0,Tarjeta de Crédito,107,Norte
48,2025-04-17 11:19:51,Rellena de Fresa,2,2.25,4.5,Tarjeta de Crédito,105,Sur
49,2025-04-17 11:21:47,Glaseada,4,1.5,6.0,Efectivo,108,Centro
50,2025-04-17 11:50:57,Chocolate,12,2.0,24.0,Tarjeta de Crédito,107,Valle
51,2025-04-17 11:55:13,Glaseada,4,1.5,6.0,Tarjeta de Débito,105,Norte
52,2025-04-17 12:33:08,Mapple,8,1.75,14.0,Tarjeta de Crédito,106,Centro
53,2025-04-17 12:58:27,Glaseada,5,1.5,7.5,Efectivo,101,Norte
54,2025-04-17 13:00:24,Boston Cream,5,2.5,12.5,Efectivo,101,Norte
55,2025-04-17 13:01:55,Glaseada,9,1.5,13.5,Tarjeta de Débito,101,Centro
56,2025-04-17 13:02:06,Chocolate,9,2.0,18.0,Efectivo,101,Valle
57,2025-04-17 13:10:08,Rellena de Fresa,7,2.25,15.75,Tarjeta de Débito,103,Norte
58,2025-04-17 13:10:28,Azúcar y Canela,2,1.25,2.5,Transferencia,107,Sur
59,2025-04-17 13:53:34,Azúcar y Canela,1,1.25,1.25,Tarjeta de Débito,106,Centro
60,2025-04-17 13:54:55,Boston Cream,10,2.5,25.0,Tarjeta de Crédito,101,Sur
61,2025-04-17 13:58:50,Chocolate,1,2.0,2.0,Transferencia,106,Sur
62,2025-04-17 13:58:58,Glaseada,11,1.5,16.5,Tarjeta de Crédito,106,Centro
63,2025-04-17 14:00:45,Chocolate,5,2.0,10.0,Transferencia,101,Valle
64,2025-04-17 14:09:14,Chocolate,4,2.0,8.0,Tarjeta de Débito,101,Norte
65,2025-04-17 14:15:29,Rellena de Fresa,12,2.25,27.0,Transferencia,103,Sur
66,2025-04-17 14:16:34,Glaseada,11,1.5,16.5,Efectivo,105,Centro
67,2025-04-17 14:51:28,Chocolate,6,2.0,12.0,Tarjeta de Débito,104,Sur
68,2025-04-17 14:58:44,Glaseada,4,1.5,6.0,Transferencia,105,Sur
69,2025-04-17 15:09:39,Boston Cream,12,2.5,30.0,Transferencia,102,Centro
70,2025-04-17 15:09:46,Boston Cream,8,2.5,20.0,Efectivo,105,Sur
71,2025-04-17 15:20:34,Azúcar y Canela,4,1.25,5.0,Transferencia,103,Norte
72,2025-04-17 15:23:34,Boston Cream,7,2.5,17.5,Transferencia,104,Sur
73,2025-04-17 15:51:55,Chocolate,6,2.0,12.0,Tarjeta de Crédito,102,Centro
74,2025-04-17 16:05:07,Mapple,5,1.75,8.75,Transferencia,106,Norte
75,2025-04-17 16:08:15,Glaseada,3,1.5,4.5,Tarjeta de Débito,103,Centro
76,2025-04-17 16:22:27,Glaseada,8,1.5,12.0,Tarjeta de Crédito,101,Norte
77,2025-04-17 16:26:15,Boston Cream,3,2.5,7.5,Tarjeta de Crédito,103,Centro
78,2025-04-17 16:45:08,Rellena de Fresa,3,2.25,6.75,Efectivo,108,Norte
79,2025-04-17 17:10:17,Glaseada,7,1.5,10.5,Efectivo,108,Valle
80,2025-04-17 17:34:17,Mapple,10,1.75,17.5,Tarjeta de Crédito,106,Centro
81,2025-04-17 17:44:19,Mapple,3,1.75,5.25,Transferencia,101,Norte
82,2025-04-17 17:49:20,Rellena de Fresa,8,2.25,18.0,Tarjeta de Débito,106,Centro
83,2025-04-17 18:08:06,Chocolate,1,2.0,2.0,Tarjeta de Débito,101,Norte
84,2025-04-17 18:21:55,Mapple,6,1.75,10.5,Tarjeta de Crédito,103,Valle
85,2025-04-17 18:36:35,Boston Cream,8,2.5,20.0,Transferencia,102,Valle
86,2025-04-17 18:49:35,Boston Cream,6,2.5,15.0,Tarjeta de Crédito,108,Valle
87,2025-04-17 18:51:07,Glaseada,4,1.5,6.0,Efectivo,107,Sur
88,2025-04-17 18:59:20,Rellena de Fresa,4,2.25,9.0,Tarjeta de Crédito,105,Norte
89,2025-04-17 19:33:33,Azúcar y Canela,2,1.25,2.5,Transferencia,106,Centro
90,2025-04-17 19:50:50,Mapple,4,1.75,7.0,Transferencia,106,Norte
91,2025-04-17 19:51:02,Chocolate,11,2.0,22.0,Efectivo,106,Sur
92,2025-04-17 20:13:53,Azúcar y Canela,12,1.25,15.0,Efectivo,101,Sur
93,2025-04-17 20:39:44,Rellena de Fresa,2,2.25,4.5,Transferencia,105,Sur
94,2025-04-17 20:41:33,Boston Cream,2,2.5,5.0,Tarjeta de Crédito,101,Sur
95,2025-04-17 20:52:19,Glaseada,11,1.5,16.5,Transferencia,104,Sur
96,2025-04-17 21:51:57,Glaseada,3,1.5,4.5,Efectivo,105,Centro
97,2025-04-17 22:40:23,Rellena de Fresa,6,2.25,13.5,Transferencia,103,Centro
98,2025-04-17 22:44:04,Boston Cream,5,2.5,12.5,Tarjeta de Débito,108,Centro
99,2025-04-17 22:56:24,Boston Cream,10,2.5,25.0,Transferencia,103,Norte
100,2025-04-17 23:02:58,Mapple,1,1.75,1.75,Transferencia,103,Valle
101,2025-04-17 23:03:36,Chocolate,10,2.0,20.0,Tarjeta de Débito,104,Valle
102,2025-04-17 23:17:38,Azúcar y Canela,7,1.25,8.75,Transferencia,103,Centro
103,2025-04-17 23:18:59,Rellena de Fresa,12,2.25,27.0,Tarjeta de Débito,108,Centro
104,2025-04-17 23:22:46,Mapple,8,1.75,14.0,Efectivo,104,Centro
105,2025-04-17 23:25:23,Azúcar y Canela,3,1.25,3.75,Tarjeta de Débito,108,Valle
106,2025-04-18 00:27:53,Rellena de Fresa,12,2.25,27.0,Efectivo,106,Valle
107,2025-04-18 00:30:53,Boston Cream,11,2.5,27.5,Tarjeta de Débito,108,Centro
108,2025-04-18 00:32:06,Boston Cream,5,2.5,12.5,Tarjeta de Débito,107,Norte
109,2025-04-18 00:50:31,Boston Cream,6,2.5,15.0,Transferencia,101,Valle
110,2025-04-18 00:55:48,Azúcar y Canela,6,1.25,7.5,Efectivo,103,Centro
111,2025-04-18 01:10:59,Azúcar y Canela,3,1.25,3.75,Efectivo,103,Valle
112,2025-04-18 01:21:11,Mapple,10,1.75,17.5,Efectivo,103,Centro
113,2025-04-18 01:43:21,Glaseada,7,1.5,10.5,Tarjeta de Crédito,102,Centro
114,2025-04-18 01:49:49,Boston Cream,10,2.5,25.0,Efectivo,107,Centro
115,2025-04-18 01:58:29,Rellena de Fresa,7,2.25,15.75,Tarjeta de Crédito,105,Sur
116,2025-04-18 02:04:14,Azúcar y Canela,6,1.25,7.5,Transferencia,104,Norte
117,2025-04-18 02:20:31,Chocolate,3,2.0,6.0,Tarjeta de Crédito,107,Sur
118,2025-04-18 02:37:10,Chocolate,11,2.0,22.0,Tarjeta de Débito,105,Valle
119,2025-04-18 02:43:29,Azúcar y Canela,6,1.25,7.5,Efectivo,103,Norte
120,2025-04-18 02:49:13,Mapple,3,1.75,5.25,Tarjeta de Débito,101,Centro
121,2025-04-18 02:49:38,Glaseada,11,1.5,16.5,Efectivo,104,Valle
122,2025-04-18 02:53:10,Rellena de Fresa,2,2.25,4.5,Tarjeta de Débito,102,Sur
123,2025-04-18 02:58:49,Boston Cream,1,2.5,2.5,Transferencia,107,Sur
124,2025-04-18 03:00:28,Glaseada,3,1.5,4.5,Transferencia,106,Norte
125,2025-04-18 03:31:16,Boston Cream,8,2.5,20.0,Transferencia,103,Sur
126,2025-04-18 03:50:32,Chocolate,6,2.0,12.0,Efectivo,107,Valle
127,2025-04-18 04:01:34,Mapple,7,1.75,12.25,Efectivo,106,Norte
128,2025-04-18 04:07:02,Mapple,1,1.75,1.75,Tarjeta de Débito,108,Sur
129,2025-04-18 04:16:36,Boston Cream,4,2.5,10.0,Tarjeta de Crédito,101,Sur
130,2025-04-18 04:22:43,Rellena de Fresa,11,2.25,24.75,Tarjeta de Crédito,104,Valle
131,2025-04-18 04:28:03,Azúcar y Canela,10,1.25,12.5,Tarjeta de Crédito,104,Norte
132,2025-04-18 04:29:59,Mapple,8,1.75,14.0,Efectivo,105,Norte
133,2025-04-18 04:35:25,Mapple,1,1.75,1.75,Tarjeta de Crédito,105,Centro
134,2025-04-18 04:36:20,Glaseada,10,1.5,15.0,Efectivo,103,Centro
135,2025-04-18 04:53:39,Rellena de Fresa,4,2.25,9.0,Efectivo,107,Norte
136,2025-04-18 05:07:47,Chocolate,11,2.0,22.0,Tarjeta de Débito,101,Valle
137,2025-04-18 05:08:14,Azúcar y Canela,11,1.25,13.75,Efectivo,107,Sur
138,2025-04-18 05:35:06,Glaseada,2,1.5,3.0,Efectivo,106,Valle
139,2025-04-18 05:59:46,Boston Cream,4,2.5,10.0,Tarjeta de Crédito,105,Norte
140,2025-04-18 06:11:43,Boston Cream,7,2.5,17.5,Efectivo,107,Sur
141,2025-04-18 06:11:46,Chocolate,2,2.0,4.0,Tarjeta de Crédito,101,Valle
142,2025-04-18 06:14:10,Chocolate,9,2.0,18.0,Tarjeta de Crédito,106,Centro
143,2025-04-18 06:16:26,Glaseada,3,1.5,4.5,Tarjeta de Débito,104,Norte
144,2025-04-18 06:25:27,Chocolate,10,2.0,20.0,Transferencia,106,Centro
145,2025-04-18 06:28:17,Rellena de Fresa,7,2.25,15.75,Tarjeta de Crédito,107,Norte
146,2025-04-18 06:33:50,Boston Cream,5,2.5,12.5,Efectivo,108,Valle
147,2025-04-18 06:40:54,Boston Cream,4,2.5,10.0,Transferencia,101,Sur
148,2025-04-18 06:57:29,Boston Cream,6,2.5,15.0,Tarjeta de Débito,102,Valle
149,2025-04-18 07:00:04,Boston Cream,9,2.5,22.5,Tarjeta de Crédito,106,Valle
150,2025-04-18 07:00:43,Azúcar y Canela,4,1.25,5.0,Transferencia,108,Valle
151,2025-04-18 07:16:35,Rellena de Fresa,10,2.25,22.5,Tarjeta de Débito,107,Sur
152,2025-04-18 07:37:57,Rellena de Fresa,11,2.25,24.75,Tarjeta de Débito,106,Valle
153,2025-04-18 07:47:48,Boston Cream,9,2.5,22.5,Efectivo,108,Valle
154,2025-04-18 07:54:04,Mapple,3,1.75,5.25,Transferencia,104,Norte
155,2025-04-18 07:59:13,Chocolate,3,2.0,6.0,Transferencia,104,Valle
156,2025-04-18 08:24:47,Mapple,3,1.75,5.25,Transferencia,104,Centro
157,2025-04-18 08:26:01,Rellena de Fresa,12,2.25,27.0,Tarjeta de Crédito,103,Norte
158,2025-04-18 08:35:07,Azúcar y Canela,9,1.25,11.25,Tarjeta de Crédito,103,Norte
159,2025-04-18 08:39:34,Chocolate,4,2.0,8.0,Transferencia,102,Sur
160,2025-04-18 08:47:14,Boston Cream,4,2.5,10.0,Transferencia,102,Norte
161,2025-04-18 08:55:44,Glaseada,10,1.5,15.0,Tarjeta de Débito,104,Norte
162,2025-04-18 08:58:46,Chocolate,2,2.0,4.0,Tarjeta de Débito,105,Centro
163,2025-04-18 09:04:32,Rellena de Fresa,10,2.25,22.5,Transferencia,103,Sur
164,2025-04-18 09:13:40,Glaseada,11,1.5,16.5,Tarjeta de Crédito,105,Valle
165,2025-04-18 09:32:15,Boston Cream,10,2.5,25.0,Tarjeta de Crédito,102,Valle
166,2025-04-18 09:38:17,Chocolate,6,2.0,12.0,Tarjeta de Débito,102,Norte
167,2025-04-18 09:43:12,Mapple,1,1.75,1.75,Tarjeta de Crédito,106,Valle
168,2025-04-18 09:46:05,Azúcar y Canela,10,1.25,12.5,Efectivo,106,Valle
169,2025-04-18 10:07:25,Azúcar y Canela,5,1.25,6.25,Tarjeta de Crédito,108,Norte
170,2025-04-18 10:13:54,Rellena de Fresa,3,2.25,6.75,Efectivo,102,Centro
171,2025-04-18 10:40:34,Azúcar y Canela,9,1.25,11.25,Transferencia,103,Sur
172,2025-04-18 10:50:41,Chocolate,11,2.0,22.0,Tarjeta de Débito,104,Centro
173,2025-04-18 10:53:46,Boston Cream,6,2.5,15.0,Efectivo,103,Centro
174,2025-04-18 10:58:04,Chocolate,12,2.0,24.0,Tarjeta de Débito,106,Valle
175,2025-04-18 11:20:22,Glaseada,6,1.5,9.0,Tarjeta de Débito,108,Norte
176,2025-04-18 11:50:00,Rellena de Fresa,3,2.25,6.75,Tarjeta de Crédito,104,Valle
177,2025-04-18 11:58:23,Glaseada,6,1.5,9.0,Tarjeta de Crédito,108,Sur
178,2025-04-18 12:03:23,Azúcar y Canela,4,1.25,5.0,Tarjeta de Débito,108,Norte
179,2025-04-18 12:18:58,Chocolate,11,2.0,22.0,Tarjeta de Débito,107,Sur
180,2025-04-18 12:35:17,Glaseada,3,1.5,4.5,Efectivo,108,Sur
181,2025-04-18 12:47:08,Glaseada,1,1.5,1.5,Tarjeta de Débito,104,Sur
182,2025-04-18 12:52:14,Boston Cream,3,2.5,7.5,Transferencia,101,Centro
183,2025-04-18 12:54:16,Chocolate,7,2.0,14.0,Transferencia,103,Valle
184,2025-04-18 13:08:02,Glaseada,10,1.5,15.0,Tarjeta de Débito,108,Valle
185,2025-04-18 13:15:09,Chocolate,4,2.0,8.0,Transferencia,102,Centro
186,2025-04-18 13:17:17,Chocolate,10,2.0,20.0,Transferencia,104,Norte
187,2025-04-18 13:19:15,Glaseada,6,1.5,9.0,Efectivo,102,Valle
188,2025-04-18 13:20:37,Rellena de Fresa,6,2.25,13.5,Efectivo,101,Sur
189,2025-04-18 13:35:18,Boston Cream,1,2.5,2.5,Tarjeta de Crédito,103,Sur
190,2025-04-18 13:36:30,Rellena de Fresa,10,2.25,22.5,Tarjeta de Débito,106,Sur
191,2025-04-18 13:38:41,Mapple,12,1.75,21.0,Tarjeta de Crédito,107,Valle
192,2025-04-18 13:55:32,Chocolate,3,2.0,6.0,Tarjeta de Débito,103,Valle
193,2025-04-18 14:08:06,Mapple,5,1.75,8.75,Efectivo,107,Sur
194,2025-04-18 14:38:32,Rellena de Fresa,11,2.25,24.75,Tarjeta de Débito,103,Centro
195,2025-04-18 14:40:00,Glaseada,5,1.5,7.5,Tarjeta de Débito,101,Norte
196,2025-04-18 14:49:12,Chocolate,10,2.0,20.0,Efectivo,107,Norte
197,2025-04-18 15:30:28,Boston Cream,1,2.5,2.5,Tarjeta de Débito,107,Valle
198,2025-04-18 15:35:50,Glaseada,7,1.5,10.5,Tarjeta de Débito,103,Norte
199,2025-04-18 15:59:50,Chocolate,12,2.0,24.0,Tarjeta de Crédito,105,Centro
200,2025-04-18 16:19:22,Chocolate,9,2.0,18.0,Tarjeta de Crédito,101,Norte
201,2025-04-18 16:20:37,Azúcar y Canela,8,1.25,10.0,Transferencia,105,Valle
202,2025-04-18 16:33:15,Glaseada,11,1.5,16.5,Transferencia,108,Sur
203,2025-04-18 16:49:51,Chocolate,4,2.0,8.0,Transferencia,102,Sur
204,2025-04-18 16:55:08,Mapple,7,1.75,12.25,Transferencia,103,Sur
205,2025-04-18 16:57:32,Azúcar y Canela,7,1.25,8.75,Efectivo,104,Centro
206,2025-04-18 17:11:49,Azúcar y Canela,3,1.25,3.75,Efectivo,101,Valle
207,2025-04-18 17:26:54,Rellena de Fresa,1,2.25,2.25,Tarjeta de Débito,107,Norte
208,2025-04-18 17:32:39,Chocolate,2,2.0,4.0,Tarjeta de Débito,107,Valle
209,2025-04-18 17:42:23,Rellena de Fresa,9,2.25,20.25,Tarjeta de Crédito,108,Valle
210,2025-04-18 17:55:26,Glaseada,8,1.5,12.0,Transferencia,102,Sur
211,2025-04-18 18:01:03,Chocolate,6,2.0,12.0,Efectivo,106,Centro
212,2025-04-18 18:21:50,Rellena de Fresa,11,2.25,24.75,Tarjeta de Crédito,106,Norte
213,2025-04-18 18:30:05,Boston Cream,2,2.5,5.0,Transferencia,102,Sur
214,2025-04-18 18:31:44,Glaseada,1,1.5,1.5,Efectivo,103,Norte
215,2025-04-18 18:47:28,Rellena de Fresa,4,2.25,9.0,Efectivo,103,Valle
216,2025-04-18 18:54:08,Azúcar y Canela,5,1.25,6.25,Tarjeta de Débito,104,Sur
217,2025-04-18 19:01:21,Chocolate,4,2.0,8.0,Tarjeta de Crédito,106,Sur
218,2025-04-18 19:05:50,Chocolate,4,2.0,8.0,Tarjeta de Crédito,108,Norte
219,2025-04-18 19:06:54,Chocolate,10,2.0,20.0,Tarjeta de Crédito,104,Valle
220,2025-04-18 19:14:45,Glaseada,2,1.5,3.0,Efectivo,108,Norte
221,2025-04-18 19:22:49,Mapple,3,1.75,5.25,Efectivo,108,Norte
222,2025-04-18 19:28:32,Chocolate,7,2.0,14.0,Tarjeta de Crédito,103,Valle
223,2025-04-18 19:35:11,Boston Cream,6,2.5,15.0,Transferencia,102,Sur
224,2025-04-18 19:40:25,Glaseada,12,1.5,18.0,Transferencia,102,Valle
225,2025-04-18 19:41:31,Boston Cream,3,2.5,7.5,Transferencia,104,Valle
226,2025-04-18 20:06:00,Mapple,8,1.75,14.0,Tarjeta de Crédito,106,Centro
227,2025-04-18 20:13:32,Glaseada,3,1.5,4.5,Efectivo,104,Centro
228,2025-04-18 20:20:26,Chocolate,6,2.0,12.0,Tarjeta de Débito,107,Valle
229,2025-04-18 20:29:56,Rellena de Fresa,12,2.25,27.0,Tarjeta de Débito,102,Valle
230,2025-04-18 20:34:46,Rellena de Fresa,2,2.25,4.5,Efectivo,107,Norte
231,2025-04-18 20:37:13,Rellena de Fresa,4,2.25,9.0,Tarjeta de Débito,103,Norte
232,2025-04-18 21:00:06,Mapple,6,1.75,10.5,Efectivo,101,Valle
233,2025-04-18 21:02:37,Rellena de Fresa,8,2.25,18.0,Efectivo,104,Norte
234,2025-04-18 21:08:15,Boston Cream,11,2.5,27.5,Efectivo,104,Centro
235,2025-04-18 21:12:59,Azúcar y Canela,8,1.25,10.0,Tarjeta de Débito,107,Norte
236,2025-04-18 22:16:34,Azúcar y Canela,8,1.25,10.0,Tarjeta de Débito,101,Sur
237,2025-04-18 22:33:26,Rellena de Fresa,1,2.25,2.25,Tarjeta de Crédito,108,Norte
238,2025-04-18 22:45:44,Rellena de Fresa,1,2.25,2.25,Tarjeta de Crédito,106,Valle
239,2025-04-18 22:50:11,Mapple,10,1.75,17.5,Efectivo,103,Norte
240,2025-04-18 22:51:18,Mapple,11,1.75,19.25,Tarjeta de Crédito,108,Sur
241,2025-04-18 22:57:35,Glaseada,4,1.5,6.0,Tarjeta de Crédito,106,Sur
242,2025-04-18 22:58:40,Rellena de Fresa,1,2.25,2.25,Tarjeta de Débito,107,Centro
243,2025-04-18 23:04:23,Mapple,8,1.75,14.0,Tarjeta de Crédito,103,Valle
244,2025-04-18 23:23:50,Chocolate,5,2.0,10.0,Efectivo,107,Sur
245,2025-04-18 23:30:34,Azúcar y Canela,9,1.25,11.25,Tarjeta de Crédito,107,Centro
246,2025-04-18 23:38:12,Mapple,12,1.75,21.0,Efectivo,108,Sur
247,2025-04-18 23:41:51,Rellena de Fresa,7,2.25,15.75,Tarjeta de Crédito,108,Sur
248,2025-04-18 23:43:21,Azúcar y Canela,12,1.25,15.0,Efectivo,108,Valle
249,2025-04-19 00:02:17,Chocolate,4,2.0,8.0,Tarjeta de Débito,102,Valle
250,2025-04-19 00:22:56,Mapple,1,1.75,1.75,Efectivo,104,Centro
251,2025-04-19 00:23:09,Mapple,1,1.75,1.75,Tarjeta de Crédito,101,Sur
252,2025-04-19 01:05:28,Azúcar y Canela,12,1.25,15.0,Tarjeta de Crédito,107,Sur
253,2025-04-19 01:35:40,Rellena de Fresa,2,2.25,4.5,Transferencia,106,Centro
254,2025-04-19 01:37:48,Boston Cream,1,2.5,2.5,Transferencia,103,Centro
255,2025-04-19 01:46:44,Azúcar y Canela,2,1.25,2.5,Tarjeta de Débito,108,Centro
256,2025-04-19 01:59:58,Glaseada,4,1.5,6.0,Efectivo,104,Sur
257,2025-04-19 02:33:07,Azúcar y Canela,5,1.25,6.25,Efectivo,102,Norte
258,2025-04-19 02:37:13,Azúcar y Canela,8,1.25,10.0,Tarjeta de Débito,103,Centro
259,2025-04-19 02:47:49,Boston Cream,2,2.5,5.0,Tarjeta de Débito,107,Norte
260,2025-04-19 03:06:34,Chocolate,8,2.0,16.0,Efectivo,101,Valle
261,2025-04-19 03:11:08,Rellena de Fresa,10,2.25,22.5,Tarjeta de Débito,103,Sur
262,2025-04-19 03:21:50,Azúcar y Canela,5,1.25,6.25,Tarjeta de Débito,107,Centro
263,2025-04-19 03:23:44,Mapple,7,1.75,12.25,Tarjeta de Crédito,106,Centro
264,2025-04-19 03:52:52,Mapple,8,1.75,14.0,Transferencia,102,Sur
265,2025-04-19 03:55:17,Rellena de Fresa,7,2.25,15.75,Efectivo,102,Valle
266,2025-04-19 04:06:25,Mapple,4,1.75,7.0,Tarjeta de Débito,107,Norte
267,2025-04-19 04:12:47,Rellena de Fresa,5,2.25,11.25,Tarjeta de Crédito,102,Sur
268,2025-04-19 04:31:43,Azúcar y Canela,7,1.25,8.75,Tarjeta de Débito,104,Centro
269,2025-04-19 04:38:44,Boston Cream,10,2.5,25.0,Efectivo,105,Sur
270,2025-04-19 04:40:48,Chocolate,12,2.0,24.0,Tarjeta de Débito,107,Sur
271,2025-04-19 04:56:02,Glaseada,3,1.5,4.5,Tarjeta de Débito,103,Centro
272,2025-04-19 05:22:15,Boston Cream,6,2.5,15.0,Transferencia,108,Centro
273,2025-04-19 05:32:00,Boston Cream,9,2.5,22.5,Transferencia,107,Sur
274,2025-04-19 05:35:24,Glaseada,8,1.5,12.0,Transferencia,108,Valle
275,2025-04-19 05:40:13,Rellena de Fresa,8,2.25,18.0,Tarjeta de Crédito,108,Valle
276,2025-04-19 05:46:12,Azúcar y Canela,1,1.25,1.25,Transferencia,105,Norte
277,2025-04-19 06:00:58,Glaseada,3,1.5,4.5,Tarjeta de Crédito,107,Centro
278,2025-04-19 06:11:24,Chocolate,4,2.0,8.0,Transferencia,104,Valle
279,2025-04-19 06:11:25,Boston Cream,11,2.5,27.5,Efectivo,101,Norte
280,2025-04-19 06:21:24,Azúcar y Canela,6,1.25,7.5,Tarjeta de Débito,104,Sur
281,2025-04-19 06:31:26,Boston Cream,7,2.5,17.5,Tarjeta de Débito,106,Norte
282,2025-04-19 06:49:42,Glaseada,1,1.5,1.5,Transferencia,107,Valle
283,2025-04-19 06:57:04,Glaseada,7,1.5,10.5,Tarjeta de Crédito,103,Norte
284,2025-04-19 06:57:35,Boston Cream,3,2.5,7.5,Transferencia,107,Norte
285,2025-04-19 07:01:35,Azúcar y Canela,11,1.25,13.75,Transferencia,107,Sur
286,2025-04-19 07:02:19,Rellena de Fresa,1,2.25,2.25,Tarjeta de Débito,103,Norte
287,2025-04-19 07:17:26,Azúcar y Canela,4,1.25,5.0,Efectivo,101,Norte
288,2025-04-19 07:17:52,Azúcar y Canela,12,1.25,15.0,Tarjeta de Crédito,103,Norte
289,2025-04-19 07:18:30,Boston Cream,4,2.5,10.0,Tarjeta de Crédito,107,Valle
290,2025-04-19 07:28:20,Rellena de Fresa,11,2.25,24.75,Tarjeta de Crédito,104,Centro
291,2025-04-19 07:29:01,Mapple,9,1.75,15.75,Transferencia,102,Valle
292,2025-04-19 07:32:01,Mapple,12,1.75,21.0,Efectivo,104,Centro
293,2025-04-19 07:37:17,Azúcar y Canela,8,1.25,10.0,Tarjeta de Crédito,102,Sur
294,2025-04-19 07:40:47,Rellena de Fresa,5,2.25,11.25,Tarjeta de Débito,103,Norte
